"collection","creator","date","description","format","identifier","language","mediatype","publisher","subject","title"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: '' Date Accessioned: 9/11/2015 23:37 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.426743","hin","texts","","C-DAC, Noida,DLI Top-Up","Jain Journal Vol 7 No 2 (oct 1972) Mlj"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: '' Date Accessioned: 9/11/2015 23:37 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.426725","hin","texts","","C-DAC, Noida,DLI Top-Up","Jain Journal Vol 2 No 3 (jan 1968) Mlj"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: '' Date Accessioned: 9/11/2015 23:44 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.428301","hin","texts","","C-DAC, Noida,DLI Top-Up","Samichin Jain Dharam (1985) Mlj"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujarati Vidyapith Library Date Accessioned: 7/19/2015 22:05 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.249501","guj","texts","","Generalities,C-DAC, Noida,DLI Top-Up","Palitana Ni Jain Dharmashalao Babatni Charcha."
"digitallibraryindia,JaiGyan","Kumaar Muni Sushiil","1958-01-01T00:00:00Z","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Bharatiya Gyanpeeth Date Accessioned: 9/23/2015 15:17 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.472723","hin","texts","Aachaary Bhaaratii Sthaanakavaasii Jain Kaanphrens Bhavan, Na-ii Dillii","RELIGION THEOLOGY,C-DAC, Noida,DLI Top-Up","Jain Dharm"
"digitallibraryindia,JaiGyan,fav-ronak_vaghasiya","Not Available","1943-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.327636 dc.contributor.author: Not Available dc.date.accessioned: 2015-08-12T16:36:12Z dc.date.available: 2015-08-12T16:36:12Z dc.date.copyright: 1943 dc.date.digitalpublicationdate: 2010/06 dc.date.citation: 1943 dc.identifier.barcode: 99999990003221 dc.identifier.origpath: /data6/upload/0137/380 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/327636 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 216 dc.format.mimetype: application/pdf dc.language.iso: Sanskrit dc.publisher.digitalrepublisher: Digital Library of India dc.publisher: Bombay, Bharatiya Vidya Bhavan dc.source.library: Prakrit Bharati Academy, Jaipur dc.title: Jain Pustak Prashastisangrah Vol.i dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.327636","san","texts","","Banasthali","Jain Pustak Prashastisangrah Vol.i"
"digitallibraryindia,JaiGyan","Swami, Gulab Chandra","1917-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.341204 dc.contributor.author: Swami, Gulab Chandra dc.date.accessioned: 2015-08-12T21:19:53Z dc.date.available: 2015-08-12T21:19:53Z dc.date.copyright: 1917 dc.date.digitalpublicationdate: 2009/11 dc.date.citation: 1917 dc.identifier.barcode: 99999990233089 dc.identifier.origpath: /data3/upload/0087/320 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/341204 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 66 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Beawar, Jain Pustak Prakashak Karyalay dc.rights: Copyright permitted dc.source.library: Sanmati Library, Jaipur dc.subject.classification: Jain Sahitya dc.subject.classification: Jain Shikshn Pathmala dc.title: Jain Shikshn Pathmala dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.341204","hin","texts","","Banasthali","Jain Shikshn Pathmala"
"digitallibraryindia,JaiGyan,fav-lucke133","Suri, Vijayanand","1910-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.344359 dc.contributor.author: Suri, Vijayanand dc.date.accessioned: 2015-08-12T21:30:22Z dc.date.available: 2015-08-12T21:30:22Z dc.date.copyright: 1910 dc.date.digitalpublicationdate: 2009/11 dc.date.citation: 1910 dc.identifier.barcode: 99999990234227 dc.identifier.origpath: /data3/upload/0088/458 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/344359 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 126 dc.format.mimetype: application/pdf dc.language.iso: Sanskrit dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Lahore, Bombay Machi Press dc.rights: Copyright permitted dc.source.library: Sanmati Library, Jaipur dc.subject.classification: Jain Sahitya dc.subject.classification: Jain Bhanu dc.title: Laghushantisudhasindhu Vande Veeram Jain Bhanu Volume-i dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.344359","san","texts","","Banasthali","Laghushantisudhasindhu Vande Veeram Jain Bhanu Volume-i"
"digitallibraryindia,JaiGyan,fav-lucke133","Bhim Singh","1911-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.303965 dc.contributor.author: Bhim Singh dc.date.accessioned: 2015-08-10T12:56:46Z dc.date.available: 2015-08-10T12:56:46Z dc.date.copyright: 1911 dc.date.digitalpublicationdate: 2011/08 dc.date.citation: 1911 dc.identifier.barcode: 99999990309918 dc.identifier.origpath: /data14/upload/0000/748 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/303965 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 415 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Mumbay,nirniya Sagar Press dc.source.library: Agarchand Bhairondan Sethiya Jain Parmarthik Sanstha, Bikaner dc.title: Shree Jain Kath Ratankos-5 dc.type: Print - Paper","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.303965","guj","texts","","Banasthali","Shree Jain Kath Ratankos-5"
"digitallibraryindia,JaiGyan","Jhaveri,jivanchandra Sakarchand","1928-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.305968 dc.contributor.author: Jhaveri,jivanchandra Sakarchand dc.date.accessioned: 2015-08-10T13:01:28Z dc.date.available: 2015-08-10T13:01:28Z dc.date.copyright: 1928 dc.date.digitalpublicationdate: 2012/11 dc.date.citation: 1928 dc.identifier.barcode: 99999990318805 dc.identifier.origpath: /data14/upload/0009/635 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/305968 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 260 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Mumbai.,shah Jivanchand Sakarchand Jhaveri dc.source.library: Bharatiya Vidya Bhavan Library, Mumbai dc.title: Limdina Jain Gyan Bhandarni Hastlikhit Pratiyonu Suchipatra dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.305968","guj","texts","","Banasthali","Limdina Jain Gyan Bhandarni Hastlikhit Pratiyonu Suchipatra"
"digitallibraryindia,JaiGyan","Shree Kamta Prasad","1956-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.440711 dc.contributor.author: Shree Kamta Prasad dc.date.accessioned: 2015-09-16T13:05:39Z dc.date.available: 2015-09-16T13:05:39Z dc.date.copyright: 1956 dc.date.digitalpublicationdate: 2011/03 dc.date.citation: 1956 dc.identifier.barcode: 99999990043414 dc.identifier.origpath: /data8/upload/0240/697 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/440711 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 40 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Aliganj Shree Chobish Vishw Jain Mission dc.source.library: Shri Abhaya Jain Granthalaya, Bikaner dc.subject.classification: Devotional dc.title: Jain Dhram --parichey dc.type: Print - Paper dc.type: Abstract","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.440711","guj","texts","","Banasthali","Jain Dhram --parichey"
"digitallibraryindia,JaiGyan","Digital Library Of India,Cdac Noida","","Book Source: Digital Library of India Item 2015.441103 dc.date.accessioned: 2015-09-16T13:14:14Z dc.date.available: 2015-09-16T13:14:14Z dc.date.copyright: 1989 dc.date.digitalpublicationdate: 2009/08/1 dc.identifier.barcode: 99999990034490 dc.identifier.origpath: /data8/upload/0231/773 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/441103 dc.description.scanningcentre: Veer Sewa Mandir, Dariya Ganj, Delhi dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 638 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India,Cdac Noida dc.rights: Not Available dc.title: Jain Dharashan Granth 2or 7 Ac 5786 dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.441103","hin","texts","","Other","Jain Dharashan Granth 2or 7 Ac 5786"
"digitallibraryindia,JaiGyan","Suri,krapachandra","1933-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.444586 dc.contributor.author: Suri,krapachandra dc.date.accessioned: 2015-09-16T17:58:04Z dc.date.available: 2015-09-16T17:58:04Z dc.date.copyright: 1933 dc.date.digitalpublicationdate: 2011/02 dc.date.citation: 1933 dc.identifier.barcode: 99999990029936 dc.identifier.origpath: /data8/upload/0227/218 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/444586 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 200 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Xxxx dc.source.library: Shri Abhaya Jain Granthalaya, Bikaner dc.subject.classification: Devotional dc.title: Jain Tatvsar Saransh dc.type: Print - Paper","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.444586","hin","texts","","Banasthali","Jain Tatvsar Saransh"
"digitallibraryindia,JaiGyan","Kasliwal, Kastoorchand","1957-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.540665 dc.contributor.author: Kasliwal, Kastoorchand dc.date.accessioned: 2015-10-09T14:07:37Z dc.date.available: 2015-10-09T14:07:37Z dc.date.copyright: 1957 dc.date.digitalpublicationdate: 2010/06 dc.date.citation: 1957 dc.identifier.barcode: 99999990068573 dc.identifier.origpath: /data9/upload/0266/142 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/540665 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 422 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library of India dc.publisher: Baghichand Gangawal Mantri - Shri D. Jain Atishaya Kshetra Shree Mahavira Ji, Jaipur dc.rights: Copyright permitted dc.source.library: Mantri, Bharat Varshiya Varni Jain Sahitya Mandir, Muzaffarnagar dc.subject.classification: Suchi -- Jain Granth Bhandar -- Rajasthan dc.title: Rajasthan Ke Jain Shastra Bhandaron Ki Granth Suchi (bhag - Iii) dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.540665","hin","texts","","Banasthali","Rajasthan Ke Jain Shastra Bhandaron Ki Granth Suchi (bhag - Iii)"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujrat Vidyapith Library Date Accessioned: 9/11/2015 2:45 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.417141","guj","texts","","C-DAC, Noida,DLI Top-Up","Jain Madhur Gayan Kunj Bhag-1"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujrat Vidyapith Library Date Accessioned: 9/11/2015 3:23 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.420394","guj","texts","","C-DAC, Noida,DLI Top-Up","Jain Sazzayamala-1"
"digitallibraryindia,JaiGyan","","","Source: Digital Library of India Scanning Centre: C-DAC, Noida Source Library: Gujrat Vidyapith Library Date Accessioned: 9/11/2015 3:22 The Digital Library of India was a project under the auspices of the Government of India.","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","dli.ernet.419857","guj","texts","","C-DAC, Noida,DLI Top-Up","Jain Lekhamala"
"purl_collection","","","PURL domain: /net/jain","Archive BitTorrent,JSON,Metadata","purl_net_jain","","data","","purl_data_md","/net/jain"
"digitallibraryindia,JaiGyan","Shri Agar Chand Ji","1921-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.404360 dc.contributor.author: Shri Agar Chand Ji dc.date.accessioned: 2015-09-10T15:23:50Z dc.date.available: 2015-09-10T15:23:50Z dc.date.copyright: 1921 dc.date.digitalpublicationdate: 2010/10 dc.date.citation: 1921 dc.identifier.barcode: 99999990063799 dc.identifier.origpath: /data9/upload/0261/367 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/404360 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 406 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library of India dc.publisher: Akhil Bhartiya Bikaner dc.source.library: Shri Jawahar Vidyapith Binasar, Bikaner dc.subject.classification: Religion dc.subject.keywords: xxxx dc.title: Shri Jain Swadhya Mala dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.404360","hin","texts","","Banasthali","Shri Jain Swadhya Mala"
"digitallibraryindia,JaiGyan","Gujrat Vidyapith Library","","Book Source: Digital Library of India Item 2015.412288 dc.date.accessioned: 2015-09-10T21:40:03Z dc.date.available: 2015-09-10T21:40:03Z dc.date.digitalpublicationdate: 2010/12/08 dc.identifier.barcode: 99999990810619 dc.identifier.origpath: /data9/data53/upload/0043/304 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/412288 dc.description.scanningcentre: C-DAC, Noida dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 10 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Gujrat Vidyapith Library dc.rights: Not Available dc.source.library: Gujrat Vidyapith Library dc.title: Surat Jain Shasan Rachana Sangrah dc.type: Print-Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.412288","guj","texts","","C-DAC","Surat Jain Shasan Rachana Sangrah"
"digitallibraryindia,JaiGyan,fav-pere432,fav-mofmul","Gujrat Vidyapith Library","","Book Source: Digital Library of India Item 2015.422290 dc.date.accessioned: 2015-09-11T01:28:33Z dc.date.available: 2015-09-11T01:28:33Z dc.date.digitalpublicationdate: 2010/10/20 dc.identifier.barcode: 99999990072492 dc.identifier.origpath: /data10/data51/upload/0016/415 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/422290 dc.description.scanningcentre: C-DAC, Noida dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 138 dc.format.mimetype: application/pdf dc.language.iso: Gujarati dc.publisher.digitalrepublisher: Gujrat Vidyapith Library dc.rights: Not Available dc.source.library: Gujrat Vidyapith Library dc.title: Jain Swetambar Directory dc.type: Print-Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,JPEG Thumb,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.422290","guj","texts","","C-DAC","Jain Swetambar Directory"
"digitallibraryindia,JaiGyan","Jain, Moolchand","1938-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.538581 dc.contributor.author: Jain, Moolchand dc.date.accessioned: 2015-10-09T12:45:47Z dc.date.available: 2015-10-09T12:45:47Z dc.date.copyright: 1938 dc.date.digitalpublicationdate: 2010/08 dc.date.citation: 1938 dc.identifier.barcode: 99999990069306 dc.identifier.origpath: /data9/upload/0266/875 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/538581 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 144 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library of India dc.publisher: Jain Vijay’’ Prenting Press Surat dc.rights: Copyright permitted dc.source.library: Digamber Jain Atishay Kshetra, Jain Vidhya Sansthan Library, Shri Mahaveer Ji, (karauli ) dc.subject.classification: Literature dc.subject.keywords: xxxx dc.title: Jain Itihas (vol. -iii) dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.538581","hin","texts","","Banasthali","Jain Itihas (vol. -iii)"
"digitallibraryindia,JaiGyan","Jain, Moolchand","1954-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.538556 dc.contributor.author: Jain, Moolchand dc.date.accessioned: 2015-10-09T12:44:51Z dc.date.available: 2015-10-09T12:44:51Z dc.date.copyright: 1954 dc.date.digitalpublicationdate: 2010/08 dc.date.citation: 1954 dc.identifier.barcode: 99999990069283 dc.identifier.origpath: /data9/upload/0266/852 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/538556 dc.description.scannerno: Banasthali University dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 190 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library of India dc.publisher: Mantri Shri Sahajanand Shastramala, Meerut dc.rights: Copyright permitted dc.source.library: Digamber Jain Atishay Kshetra, Jain Vidhya Sansthan Library, Shri Mahaveer Ji, (karauli ) dc.subject.classification: Literature dc.subject.keywords: xxxx dc.title: Jain Dharmaa Pravachan (dash Lakshan Jain Dharmaa) dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.538556","hin","texts","","Banasthali","Jain Dharmaa Pravachan (dash Lakshan Jain Dharmaa)"
"digitallibraryindia,JaiGyan,fav-harleeno","Kasliwal, Kastoorchand","","Book Source: Digital Library of India Item 2015.319747 dc.contributor.author: Kasliwal, Kastoorchand dc.date.accessioned: 2015-08-11T20:47:35Z dc.date.available: 2015-08-11T20:47:35Z dc.date.digitalpublicationdate: 2010/1 dc.identifier.barcode: 99999990252988 dc.identifier.origpath: /data4/upload/0105/792 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/319747 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 256 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Jaipur, Multan Digamber Jain Samaj dc.source.library: Sanmati Library dc.title: Multan Digamber Jain Samaj Itihas Ke Alok Men dc.type: Print - Paper dc.type: Book","Additional Text PDF,Animated GIF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.319747","hin","texts","","Banasthali","Multan Digamber Jain Samaj Itihas Ke Alok Men"
"digitallibraryindia,JaiGyan","Not Available","","Book Source: Digital Library of India Item 2015.319742 dc.contributor.author: Not Available dc.date.accessioned: 2015-08-11T20:47:21Z dc.date.available: 2015-08-11T20:47:21Z dc.date.digitalpublicationdate: 2010/1 dc.identifier.barcode: 99999990252983 dc.identifier.origpath: /data4/upload/0105/787 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/319742 dc.description.scanningcentre: Banasthali University dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 426 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: Digital Library Of India dc.publisher: Calcutta, Jinvani Pracharak Karyalay dc.source.library: Sanmati Library dc.title: Pracheen Jain Pad Shatak dc.type: Print - Paper dc.type: Book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.319742","hin","texts","","Banasthali","Pracheen Jain Pad Shatak"
"digitallibraryindia,JaiGyan,fav-lucke133","digital library of india","1896-01-01T00:00:00Z","Book Source: Digital Library of India Item 2015.320311 dc.date.accessioned: 2015-08-11T21:03:09Z dc.date.available: 2015-08-11T21:03:09Z dc.date.copyright: 1939 dc.date.digitalpublicationdate: 2009/06/07 dc.date.citation: 1896 dc.identifier.barcode: 99999990262659 dc.identifier.origpath: /data4/upload/0115/463 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/320311 dc.description.scanningcentre: Unknown dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 335 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: digital library of india dc.source.library: Vir Seva Mandir Daryaganj dc.title: Jain Tatva Kalika Vikas (1632) dc.type: print-paper dc.type: book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.320311","hin","texts","","Other","Jain Tatva Kalika Vikas (1632)"
"digitallibraryindia,JaiGyan","digital library of india","","Book Source: Digital Library of India Item 2015.320533 dc.date.accessioned: 2015-08-11T21:09:10Z dc.date.available: 2015-08-11T21:09:10Z dc.date.copyright: 1948 dc.date.digitalpublicationdate: 2009/09/01 dc.identifier.barcode: 99999990263065 dc.identifier.origpath: /data4/upload/0115/869 dc.identifier.copyno: 1 dc.identifier.uri: http://www.new.dli.ernet.in/handle/2015/320533 dc.description.scanningcentre: Unknown dc.description.main: 1 dc.description.tagged: 0 dc.description.totalpages: 537 dc.format.mimetype: application/pdf dc.language.iso: Hindi dc.publisher.digitalrepublisher: digital library of india dc.source.library: Vir Seva Mandir Daryaganj dc.title: Mul Jain Dharam Aur Halwa Sampraday Ac.3908 dc.type: print-paper dc.type: book","Additional Text PDF,Archive BitTorrent,DjVuTXT,Djvu XML,Image Container PDF,Item Tile,Metadata,OCR Page Index,OCR Search Text,Page Numbers JSON,Scandata,Single Page Processed JP2 ZIP,chOCR,hOCR","in.ernet.dli.2015.320533","hin","texts","","Other","Mul Jain Dharam Aur Halwa Sampraday Ac.3908"
